FIPSCode,LocationType,Location,AgeGroup,Gender,TimeFrame,DataFormat,Data
06,State,California,Ages 0_2,Female,2020,Number,"666,477"
06,State,California,Ages 0_2,Male,2020,Number,"697,215"
06,State,California,Ages 0_2,Total,2020,Number,"1,363,692"
06,State,California,Ages 11_13,Female,2020,Number,"770,448"
06,State,California,Ages 11_13,Male,2020,Number,"800,496"
06,State,California,Ages 11_13,Total,2020,Number,"1,570,944"
06,State,California,Ages 14_17,Female,2020,Number,"1,017,713"
06,State,California,Ages 14_17,Male,2020,Number,"1,055,961"
06,State,California,Ages 14_17,Total,2020,Number,"2,073,674"
06,State,California,Ages 3_5,Female,2020,Number,"715,327"
06,State,California,Ages 3_5,Male,2020,Number,"749,841"
06,State,California,Ages 3_5,Total,2020,Number,"1,465,168"
06,State,California,Ages 6_10,Female,2020,Number,"1,249,146"
06,State,California,Ages 6_10,Male,2020,Number,"1,303,428"
06,State,California,Ages 6_10,Total,2020,Number,"2,552,574"
06,State,California,Total for Ages 0_17,Female,2020,Number,"4,419,111"
06,State,California,Total for Ages 0_17,Male,2020,Number,"4,606,941"
06,State,California,Total for Ages 0_17,Total,2020,Number,"9,026,052"

